show_id,director_name
58884,Mark Ruffalo
12445,David Yates
1865,Rob Marshall
82023,Sergej Moya
118249,Gary Trousdale
118249,Sean Bishop
50619,Bill Condon
49013,John Lasseter
1771,Joe Johnston
10195,Kenneth Branagh
39254,Shawn Levy
77338,Olivier Nakache
77338,Éric Toledano
45243,Todd Phillips
44896,Gore Verbinski
417859,Chris Miller
50014,Tate Taylor
56292,Brad Bird
49444,Jennifer Yuh Nelson
50546,Dennis Dugan
46195,Carlos Saldanha
27582,Simon West
41446,Wes Craven
49018,James Wan
63311,Pedro Almodóvar
62835,Olivier Megaton
55779,Steven Quale
73456,Ezekiel Norton
38321,Scott Stewart
50646,Glenn Ficarra
50646,John Requa
51876,Neil Burger
49530,Andrew Niccol
85877,Cash Chin Man-Kei
61791,Rupert Wyatt
